transaction_id,date,raw_description,normalised_description,category,amount_band,region
T00001,2024-04-24,Starbucks /NETBANKING,starbucks netbanking,Dining,500-2000,US
T00002,2024-10-29,Spotify - UPI,spotify upi,Entertainment,5000+,IN
T00003,2024-04-29,Amazon,amazon,Shopping,0-200,US
T00004,2024-04-22,Gas Company - ONLINE,gas company online,Bills,5000+,SG
T00005,2024-06-23,IRCTC,irctc,Travel,200-500,SG
T00006,2024-02-17,DMart - ONLINE,dmart online,Groceries,500-2000,IN
T00007,2024-01-23,Flipkart INTL,flipkart intl,Shopping,500-2000,EU
T00008,2024-11-17,Ola Cabs MUMBAI IN,ola cabs mumbai in,Travel,0-200,EU
T00009,2024-12-04,Toll Plaza - ONLINE,toll plaza online,Others,0-200,IN
T00010,2024-07-13,IndianOil #0421,indianoil 0421,Fuel,200-500,IN
T00011,2024-07-08,Walmart - UPI,walmart upi,Groceries,500-2000,US
T00012,2024-11-07,Bank Fee - UPI,bank fee upi,Others,500-2000,IN
T00013,2024-11-23,PVR Cinemas *REF 8573,pvr cinemas ref 8573,Entertainment,2000-5000,EU
T00014,2024-01-17,Nayara Energy INTL,nayara energy intl,Fuel,0-200,US
T00015,2024-10-17,Parking - POS TXN,parking pos txn,Others,0-200,US
T00016,2024-11-25,Bank Fee - UPI,bank fee upi,Others,2000-5000,SG
T00017,2024-10-14,IndiGo Airlines - POS TXN,indigo airlines pos txn,Travel,200-500,US
T00018,2024-07-04,More Supermarket BANGALORE IN,more supermarket bangalore in,Groceries,2000-5000,SG
T00019,2024-01-25,HP Petrol Pump NEW DELHI,hp petrol pump new delhi,Fuel,2000-5000,IN
T00020,2024-11-01,Domino's Pizza - UPI,domino's pizza upi,Dining,200-500,SG
T00021,2024-09-27,Burger King MUMBAI IN,burger king mumbai in,Dining,5000+,SG
T00022,2024-11-24,Target Groceries,target groceries,Groceries,0-200,EU
T00023,2024-08-20,Service Charge - POS TXN,service charge pos txn,Others,2000-5000,US
T00024,2024-09-16,Mobile Recharge /NETBANKING,mobile recharge netbanking,Bills,500-2000,US
T00025,2024-03-19,Subway - UPI,subway upi,Dining,5000+,US
T00026,2024-11-02,Annual Fee *REF 9837,annual fee ref 9837,Others,5000+,IN
T00027,2024-06-06,Parking,parking,Others,0-200,EU
T00028,2024-02-13,Shell Petrol - ONLINE,shell petrol online,Fuel,5000+,IN
T00029,2024-12-03,Ola Cabs NEW DELHI,ola cabs new delhi,Travel,200-500,US
T00030,2024-04-18,IndiGo Airlines - POS TXN,indigo airlines pos txn,Travel,5000+,SG
T00031,2024-08-12,Nayara Energy - POS TXN,nayara energy pos txn,Fuel,2000-5000,EU
T00032,2024-06-22,Ola Cabs - ONLINE,ola cabs online,Travel,200-500,IN
T00033,2024-01-04,Gas Company NEW DELHI,gas company new delhi,Bills,200-500,US
T00034,2024-06-18,Starbucks - ONLINE,starbucks online,Dining,0-200,IN
T00035,2024-10-03,KFC - POS TXN,kfc pos txn,Dining,2000-5000,US
T00036,2024-04-07,Prime Video - ONLINE,prime video online,Entertainment,2000-5000,SG
T00037,2024-08-04,McDonald's - UPI,mcdonald's upi,Dining,2000-5000,EU
T00038,2024-02-01,H&M /NETBANKING,h&m netbanking,Shopping,0-200,IN
T00039,2024-04-07,Croma #0421,croma 0421,Shopping,200-500,US
T00040,2024-08-24,IndiGo Airlines MUMBAI IN,indigo airlines mumbai in,Travel,200-500,EU
T00041,2024-01-26,Shell Petrol BLR IN,shell petrol blr in,Fuel,5000+,IN
T00042,2024-09-05,Airtel Postpaid - ONLINE,airtel postpaid online,Bills,200-500,SG
T00043,2024-07-13,MakeMyTrip MUMBAI IN,makemytrip mumbai in,Travel,0-200,US
T00044,2024-08-04,Water Utility - POS TXN,water utility pos txn,Bills,2000-5000,EU
T00045,2024-01-30,IndiGo Airlines - ONLINE,indigo airlines online,Travel,500-2000,US
T00046,2024-10-26,Mobile Recharge INTL,mobile recharge intl,Bills,0-200,IN
T00047,2024-04-05,IndiGo Airlines,indigo airlines,Travel,5000+,IN
T00048,2024-03-02,McDonald's - UPI,mcdonald's upi,Dining,200-500,SG
T00049,2024-08-02,Essar Fuel BANGALORE IN,essar fuel bangalore in,Fuel,0-200,IN
T00050,2024-05-15,Maintenance Charge - ONLINE,maintenance charge online,Others,500-2000,US
T00051,2024-06-10,Myntra - UPI,myntra upi,Shopping,500-2000,SG
T00052,2024-02-07,Starbucks BLR IN,starbucks blr in,Dining,5000+,IN
T00053,2024-02-05,Essar Fuel - POS TXN,essar fuel pos txn,Fuel,200-500,EU
T00054,2024-10-05,IndianOil - POS TXN,indianoil pos txn,Fuel,200-500,SG
T00055,2024-12-07,Target Groceries - UPI,target groceries upi,Groceries,5000+,IN
T00056,2024-02-29,More Supermarket #0421,more supermarket 0421,Groceries,200-500,EU
T00057,2024-06-24,Domino's Pizza - POS TXN,domino's pizza pos txn,Dining,500-2000,US
T00058,2024-05-08,Nayara Energy - UPI,nayara energy upi,Fuel,500-2000,SG
T00059,2024-01-23,Airtel Postpaid - UPI,airtel postpaid upi,Bills,2000-5000,EU
T00060,2024-10-09,Electricity Board *REF 5291,electricity board ref 5291,Bills,200-500,SG
T00061,2024-12-19,Zara,zara,Shopping,0-200,IN
T00062,2024-08-08,Netflix INTL,netflix intl,Entertainment,5000+,US
T00063,2024-07-02,Netflix - POS TXN,netflix pos txn,Entertainment,500-2000,IN
T00064,2024-10-13,Nayara Energy - ONLINE,nayara energy online,Fuel,0-200,EU
T00065,2024-07-30,Myntra - ONLINE,myntra online,Shopping,200-500,US
T00066,2024-12-08,Jio Fiber /NETBANKING,jio fiber netbanking,Bills,500-2000,SG
T00067,2024-08-28,IndianOil *REF 2771,indianoil ref 2771,Fuel,2000-5000,IN
T00068,2024-04-26,HP Petrol Pump BLR IN,hp petrol pump blr in,Fuel,500-2000,EU
T00069,2024-06-17,Shell Petrol - UPI,shell petrol upi,Fuel,200-500,SG
T00070,2024-11-24,Nature's Basket #0421,nature's basket 0421,Groceries,500-2000,EU
T00071,2024-05-13,Zara INTL,zara intl,Shopping,0-200,IN
T00072,2024-06-25,SonyLiv,sonyliv,Entertainment,0-200,SG
T00073,2024-07-16,Parking BANGALORE IN,parking bangalore in,Others,5000+,IN
T00074,2024-09-23,IndianOil,indianoil,Fuel,2000-5000,IN
T00075,2024-11-15,IndianOil MUMBAI IN,indianoil mumbai in,Fuel,0-200,EU
T00076,2024-12-07,Late Fee #0421,late fee 0421,Others,500-2000,EU
T00077,2024-04-08,Croma MUMBAI IN,croma mumbai in,Shopping,500-2000,US
T00078,2024-07-26,Lifestyle - UPI,lifestyle upi,Shopping,200-500,EU
T00079,2024-10-23,Electricity Board - POS TXN,electricity board pos txn,Bills,200-500,SG
T00080,2024-09-18,Parking BLR IN,parking blr in,Others,2000-5000,US
T00081,2024-09-20,IndiGo Airlines - UPI,indigo airlines upi,Travel,0-200,EU
T00082,2024-04-11,Service Charge - ONLINE,service charge online,Others,500-2000,US
T00083,2024-11-08,Netflix,netflix,Entertainment,200-500,SG
T00084,2024-12-22,Pizza Hut MUMBAI IN,pizza hut mumbai in,Dining,5000+,US
T00085,2024-12-01,H&M MUMBAI IN,h&m mumbai in,Shopping,200-500,US
T00086,2024-03-31,DTH Recharge #0421,dth recharge 0421,Bills,2000-5000,US
T00087,2024-08-21,Uber NEW DELHI,uber new delhi,Travel,200-500,IN
T00088,2024-08-14,Prime Video - UPI,prime video upi,Entertainment,5000+,EU
T00089,2024-08-18,Zara BLR IN,zara blr in,Shopping,200-500,SG
T00090,2024-11-16,Nature's Basket - ONLINE,nature's basket online,Groceries,500-2000,SG
T00091,2024-04-30,IndianOil BLR IN,indianoil blr in,Fuel,0-200,EU
